PartsName,Material,SizeRemarks,PartsQuantity
,SLD,10X16X69,2
,SLD,9.8X16X69,2
,SLD,10.2X16X69,2
,SS400,6X19X68,1
,DAC,30X200.3X200.3,5
,DAC-I,295X300X305,1
,DAC-I,250X560X760,1
,OTHER,MATERIAL SURVEY,1
4TH PROCESS DIE ASSY,DAC,166.7X88.06,1
4TH PROCESS DIE ASSY,DAC,170.3X108.84,1
4TH PROCESS DIE ASSY,DAC,250X181.9,1
,DACMAGIC,45X64X156,15
,SLD-F,30X64X156,6
,SLD,40X500X900,1
,SLD,40X500X500,1
,DAC-X,52X77X100,1
,DAC-X,52X77X100,1
,SLD,83X53.15,5
"CAVITY-0003 #15,16",DACMAGIC,81X316.98X370.97,1
"CAVITY-0004 #15,16",DACMAGIC,81X295.98X370.97,1
"CAVITY-0005 #15,16",DACMAGIC,91X316.98X370.97,1
"CAVITY-0006 #15,16",DACMAGIC,91X295.98X370.97,1
,DACMAGIC,86X321X401,1
,DACMAGIC,86X351X371,1
,DACMAGIC,101.4X321X401,1
"5R0 OVER OIL PUMP #13,14",DACMAGIC,86X301X531,1
"5R0 COVER OIL PUMP #13,14",DACMAGIC,73.31X301X531,1
,DACMAGIC,111X281X401,1
,DACMAGIC,101.4X351X371,1
,DACMAGIC,88.7X281X401,1
,,,
